,firm_Score,Firm,ad_Firm_Role,Job_Location,Provincia,Regione,Cultura_e_tempolibero,Affari_e_lavoro,Ricchezza_e_consumi,Giustizia_e_sicurezza,Demografia_e_società,Ambiente_e_servizi,Average_punt
0,3.3,Teamsystem,Data Scientist - Milano/Torino/Pesaro/Campobasso,Milano,Milano,Lombardy,491.9,632.1,674.3,549.2,620.4,475.642,573.924
1,1.4,VJ Technology Srl,DATA SCIENTIST,Roma,Roma,Lazio,421.1,566.4,597.5,532.3,653.7,458.858,538.31
2,4.2,Newel Health,Junior Data Scientist,Remote,,,,,,,,,
3,4.9,Agile Lab,Data Scientist II (Remote),Turin,Torino,Piedmont,393.6,492.1,648.1,639.8,578.1,433.093,530.799
4,3.8,Wind Tre S.p.A. con Socio Unico,Data Scientist Junior,Rho,Milano,Lombardy,491.9,632.1,674.3,549.2,620.4,475.642,573.924
5,3.5,TENOVA,Data Scientist,Castellanza,Varese,Lombardy,343.8,499.9,637.9,688.4,560.0,444.486,529.081
6,3.8,Merkle,Junior Data Scientist,Remote,,,,,,,,,
7,4.5,i-EM,Data Scientist,Rome,Roma,Lazio,421.1,566.4,597.5,532.3,653.7,458.858,538.31
8,3.5,Sferanet,Data Scientist Junior,Roma,Roma,Lazio,421.1,566.4,597.5,532.3,653.7,458.858,538.31
9,5,AMA European Consulting,Data Scientist (EU Joint Research Program),Ispra,Varese,Lombardy,343.8,499.9,637.9,688.4,560.0,444.486,529.081
10,3.9,Merkle DACH,Junior Data Scientist,Remote,,,,,,,,,
11,4.4,XNEXT,Data Scientist,Rome,Roma,Lazio,421.1,566.4,597.5,532.3,653.7,458.858,538.31
12,5,Modelway,Data Scientist,Remote,,,,,,,,,
13,4.2,Manpower,DATA SCIENTIST,Vercelli,Vercelli,Piedmont,332.4,382.6,613.5,814.6,526.7,389.579,509.897
14,4.3,FRONTIERE,Junior Data Scientist,Roma,Roma,Lazio,421.1,566.4,597.5,532.3,653.7,458.858,538.31
15,3.1,RE COLLECTION SRL,Data Scientist,Rome,Roma,Lazio,421.1,566.4,597.5,532.3,653.7,458.858,538.31
16,4,Allianz Italy,JUNIOR DATA SCIENTIST - CLAIMS,Milano,Milano,Lombardy,491.9,632.1,674.3,549.2,620.4,475.642,573.924
17,3.9,NTT DATA,DATA SCIENTIST SENIOR,Bari,Bari,Apulia,293.3,527.2,508.3,646.8,504.0,457.258,489.476
18,4.2,Mollie,Data Scientist,Remote,,,,,,,,,
19,4.1,Axpo Italia SpA,Data Scientist,Remote,,,,,,,,,
20,4,Lilly,Data Scientist,Remote,,,,,,,,,
21,3.6,UniCredit Bank,Data Scientist Global Protection Platform Curricular Internship,Torino,Torino,Piedmont,393.6,492.1,648.1,639.8,578.1,433.093,530.799
22,4,RGA,Data Scientist Intern,Remote,,,,,,,,,
23,3.6,Generali Italia,Data scientist,Remote,,,,,,,,,
24,4,A2A S.p.A.,MASTER DATA SCIENTIST,Rome,Roma,Lazio,421.1,566.4,597.5,532.3,653.7,458.858,538.31
25,3.6,UniCredit Bank,Curricular Internship / Client Intelligence - Customer Engagement Data Scientist,Rozzano,Milano,Lombardy,491.9,632.1,674.3,549.2,620.4,475.642,573.924
26,3.5,Ospedale San Raffaele srl,Biostatistician/Data Scientist - Cardiothoracic and Vascular Department,Remote,,,,,,,,,
27,3.9,Easy Market,Data Scientist – Internship,Rimini,Rimini,Emilia-Romagna,483.6,531.2,557.7,558.7,547.9,456.646,522.624
28,3.4,Hitachi Energy Italy S.P.A.,Business R&D Associate Data Scientist,Monselice,Padova,Veneto,376.5,515.4,626.2,699.9,584.7,445.117,541.303
29,3.3,Menarini Silicon Biosystems,SCIENTIST/CELL BIOLOGIST,Castel Maggiore,Bologna,Emilia-Romagna,470.1,545.6,688.8,629.9,688.1,518.977,590.246
30,4,IQVIA,R&D Analytical Scientist,Remote,,,,,,,,,
31,3.7,BVA Doxa,Junior Data Scientist,Oristano,Oristano,Sardinia,267.4,428.8,431.0,843.9,398.6,544.457,485.693
32,3.4,Pizzarotti & C. S.p.A.,DATA SCIENTIST - SMART INFRASTRUCTURES,Parma,Parma,Emilia-Romagna,453.9,498.0,664.1,663.7,633.9,529.189,573.798
33,3.6,Aptuit,Associate Scientist,Verona,Verona,Veneto,397.1,518.8,652.9,749.5,620.4,416.296,559.166
34,3.8,Merkle,Data Scientist,Remote,,,,,,,,,
35,3.9,Hitachi Energy,Business R&D Associate Data Scientist,Monselice,Padova,Veneto,376.5,515.4,626.2,699.9,584.7,445.117,541.303
36,4.5,Techyon,MACHINE LEARNING | BIG DATA | DATA SCIENTIST,Trieste,Trieste,Friuli-Venezia Giulia,510.1,604.4,584.4,672.6,589.0,485.53,574.338
37,3.5,Value Partners,Data Scientist,Milano,Milano,Lombardy,491.9,632.1,674.3,549.2,620.4,475.642,573.924
38,5,TapMyLife Srl,Data scientist,Bergamo,Bergamo,Lombardy,413.6,490.3,651.4,768.3,555.7,488.336,561.273
39,3.5,Iper La grande i,DATA SCIENTIST - MARKETING,Remote,,,,,,,,,
40,3.1,RE COLLECTION SRL,STAGE DATA SCIENTIST,Rome,Roma,Lazio,421.1,566.4,597.5,532.3,653.7,458.858,538.31
41,3.8,Bruker,Application Scientist XRD/XRF (m/f/d),Remote,,,,,,,,,
42,3.4,P&P Consulting,Data Scientist,Remote,,,,,,,,,
43,4.4,Musixmatch,"Data Scientist, Machine Learning & AI",Bologna,Bologna,Emilia-Romagna,470.1,545.6,688.8,629.9,688.1,518.977,590.246
44,4,A2A S.p.A.,DATA SCIENTIST,Rimini,Rimini,Emilia-Romagna,483.6,531.2,557.7,558.7,547.9,456.646,522.624
45,4.2,NRB,Data Scientist,Ispra,Varese,Lombardy,343.8,499.9,637.9,688.4,560.0,444.486,529.081
46,5,Spaziodati,Machine Learning Engineer / Data Scientist,Trento,Trento,Trentino-Alto Adige,448.5,519.3,662.3,701.1,591.8,536.632,576.605
47,4.3,CGM Consulting,Data Scientist,Rome,Roma,Lazio,421.1,566.4,597.5,532.3,653.7,458.858,538.31
48,3.9,InfoCamere,DATA ANALYST rif. DANA0323,Padova,Padova,Veneto,376.5,515.4,626.2,699.9,584.7,445.117,541.303
49,3.5,Tesmec spa - sede di Grassobbio,Data Scientist,Grassobbio,Bergamo,Lombardy,413.6,490.3,651.4,768.3,555.7,488.336,561.273
50,3.5,Akkodis,Data Scientist,Padova,Padova,Veneto,376.5,515.4,626.2,699.9,584.7,445.117,541.303
51,3.6,UniCredit Bank,Curricular Internship / Client Intelligence - Customer Engagement Data Scientist,Remote,,,,,,,,,
52,2.3,LUBEA,DATA ENGINEER,Roma,Roma,Lazio,421.1,566.4,597.5,532.3,653.7,458.858,538.31
53,3.6,Volksbank,Data Scientist - Risk Management (m/f/d),Remote,,,,,,,,,
54,3.3,Menarini Silicon Biosystems,SCIENTIST/CELL BIOLOGIST,Castel Maggiore,Bologna,Emilia-Romagna,470.1,545.6,688.8,629.9,688.1,518.977,590.246
55,4.9,Electra Vehicles,Data Scientist,Turin,Torino,Piedmont,393.6,492.1,648.1,639.8,578.1,433.093,530.799
56,3.3,ISCS,Torino- Data Scientist,Turin,Torino,Piedmont,393.6,492.1,648.1,639.8,578.1,433.093,530.799
57,4.5,Techyon,DATA ENGINEER | DATA WAREHOUSE ENGINEER | BUSINESS INTELLIGENCE,Moncalieri,Torino,Piedmont,393.6,492.1,648.1,639.8,578.1,433.093,530.799
58,4.1,Docebo,Data Scientist,Biassono,Monza-Brianza,Lombardy,381.5,552.5,646.3,774.1,572.7,370.421,549.587
59,3.6,Moxoff S.p.A.,DATA SCIENTIST,Milano,Milano,Lombardy,491.9,632.1,674.3,549.2,620.4,475.642,573.924
60,3.1,RE COLLECTION SRL,STAGE DATA SCIENTIST,Rome,Roma,Lazio,421.1,566.4,597.5,532.3,653.7,458.858,538.31
61,2.3,IRBM,Junior Research Scientist,Pomezia,Roma,Lazio,421.1,566.4,597.5,532.3,653.7,458.858,538.31
62,4,Snam,Data Scientist,San Donato Milanese,Milano,Lombardy,491.9,632.1,674.3,549.2,620.4,475.642,573.924
63,2.9,ELSE Corp,JR DATA SCIENCE ENGINEER,Bologna,Bologna,Emilia-Romagna,470.1,545.6,688.8,629.9,688.1,518.977,590.246
64,3.5,UNIPOL GRUPPO,Data Scientist,Bologna,Bologna,Emilia-Romagna,470.1,545.6,688.8,629.9,688.1,518.977,590.246
65,3.3,ISCS Srls,TORINO- DATA SCIENTIST,Turin,Torino,Piedmont,393.6,492.1,648.1,639.8,578.1,433.093,530.799
66,4.1,BIP - Business Integration Partners,Data Scientist - SAS Specialist,Palermo,Palermo,Sicily,255.6,469.3,385.0,648.7,516.8,356.761,438.694
67,3.1,Gruppo MutuiOnline,Data Scientist (Divisione Broking),Remote,,,,,,,,,
68,3.4,Pizzarotti & C. S.p.A.,DATA SCIENTIST - SMART INFRASTRUCTURES,Parma,Parma,Emilia-Romagna,453.9,498.0,664.1,663.7,633.9,529.189,573.798
69,5,TapMyLife Srl,Data scientist,Bergamo,Bergamo,Lombardy,413.6,490.3,651.4,768.3,555.7,488.336,561.273
70,3.5,Value Partners,Data Scientist,Remote,,,,,,,,,
71,3.8,Jakala,Data Scientist,Rome,Roma,Lazio,421.1,566.4,597.5,532.3,653.7,458.858,538.31
72,4.3,CGM Consulting,Data Engineer / Python Developer,Rome,Roma,Lazio,421.1,566.4,597.5,532.3,653.7,458.858,538.31
73,3.3,Telepass,Data Governance Specialist,Remote,,,,,,,,,
74,4.3,Artemest,Data Scientist,Bologna,Bologna,Emilia-Romagna,470.1,545.6,688.8,629.9,688.1,518.977,590.246
75,4.2,Boston Scientific Corporation,Data Science Intern EMEA (Milan based),Remote,,,,,,,,,
76,3.5,LHH,GIS Data Scientist | Startup Adventure,Remote,,,,,,,,,
77,3.1,DiaSorin,Molecular R&D Scientist,Gerenzano,Varese,Lombardy,343.8,499.9,637.9,688.4,560.0,444.486,529.081
78,3.5,Ospedale San Raffaele srl,Biostatistician/Data Scientist - Cardiothoracic and Vascular Department,Trento,Trento,Trentino-Alto Adige,448.5,519.3,662.3,701.1,591.8,536.632,576.605
79,3.5,Akkodis,Data Scientist - Automotive,Bari,Bari,Apulia,293.3,527.2,508.3,646.8,504.0,457.258,489.476
80,3.9,Merkle DACH,Data Scientist,Milano,Milano,Lombardy,491.9,632.1,674.3,549.2,620.4,475.642,573.924
81,4.5,Techyon,MACHINE LEARNING | BIG DATA | DATA SCIENTIST,Trieste,Trieste,Friuli-Venezia Giulia,510.1,604.4,584.4,672.6,589.0,485.53,574.338
82,3.6,Synergie Italia S.p.a.,DATA SCIENTIST,Vercelli,Vercelli,Piedmont,332.4,382.6,613.5,814.6,526.7,389.579,509.897
83,4,A2A S.p.A.,MASTER DATA SCIENTIST,Rome,Roma,Lazio,421.1,566.4,597.5,532.3,653.7,458.858,538.31
84,2.3,IRBM,Research Scientist,Pomezia,Roma,Lazio,421.1,566.4,597.5,532.3,653.7,458.858,538.31
85,3.8,Bruker,Application Scientist XRD/XRF (m/f/d),Remote,,,,,,,,,
86,4.2,Facile.it,Lead Data Scientist,Milano,Milano,Lombardy,491.9,632.1,674.3,549.2,620.4,475.642,573.924
87,3.9,Easy Market,Data Scientist – Internship,Rimini,Rimini,Emilia-Romagna,483.6,531.2,557.7,558.7,547.9,456.646,522.624
88,3.8,Wyser,Data Scientist,Roma,Roma,Lazio,421.1,566.4,597.5,532.3,653.7,458.858,538.31
89,3.9,Hitachi Energy,Business R&D Associate Data Scientist,Monselice,Padova,Veneto,376.5,515.4,626.2,699.9,584.7,445.117,541.303
90,3.3,Lutech Group,Data Scientist,Bari,Bari,Apulia,293.3,527.2,508.3,646.8,504.0,457.258,489.476
91,4.1,IBM,Data Scientist – Artificial Intelligence,Napoli,Napoli,Campania,309.9,519.7,406.0,548.3,374.3,394.063,425.377
92,4.2,Fater SpA,Data Scientist - Curricular internship,Spoltore,Pescara,Abruzzo,427.0,453.4,489.7,702.4,583.1,486.638,523.706
93,3.8,AXXAM SPA,Cell Biology Scientist,Bresso,Milano,Lombardy,491.9,632.1,674.3,549.2,620.4,475.642,573.924
94,4.6,Wikicasa,Data scientist,Genoa,Genova,Liguria,472.7,480.6,628.1,664.6,586.9,454.109,547.835
95,4,KPMG,Junior Data Scientist,Siena,Siena,Tuscany,501.6,445.6,609.1,733.4,616.8,564.523,578.504
96,3.9,Immobiliare.it,Data Scientist,Roma,Roma,Lazio,421.1,566.4,597.5,532.3,653.7,458.858,538.31
97,4,Exacon,Data Scientist,Remote,,,,,,,,,
98,3.8,AXXAM SPA,Scientist - Medicinal Chemistry Unit,Torre Annunziata,Napoli,Campania,309.9,519.7,406.0,548.3,374.3,394.063,425.377
99,4,A2A S.p.A.,DATA SCIENTIST,Siena,Siena,Tuscany,501.6,445.6,609.1,733.4,616.8,564.523,578.504
100,3.9,NTT DATA,AZURE DATA ENGINEER,Bari,Bari,Apulia,293.3,527.2,508.3,646.8,504.0,457.258,489.476
101,3.5,Akkodis,Data Scientist - Automotive,Bari,Bari,Apulia,293.3,527.2,508.3,646.8,504.0,457.258,489.476
102,3.6,Synergie Italia S.p.a.,DATA SCIENTIST,Vercelli,Vercelli,Piedmont,332.4,382.6,613.5,814.6,526.7,389.579,509.897
103,2.3,IRBM,Research Scientist,Pomezia,Roma,Lazio,421.1,566.4,597.5,532.3,653.7,458.858,538.31
104,4.2,Facile.it,Lead Data Scientist,Remote,,,,,,,,,
105,3.8,Wyser,Data Scientist,Roma,Roma,Lazio,421.1,566.4,597.5,532.3,653.7,458.858,538.31
106,3.3,Lutech Group,Data Scientist,Bari,Bari,Apulia,293.3,527.2,508.3,646.8,504.0,457.258,489.476
107,4,KPMG,Junior Data Scientist,Roma,Roma,Lazio,421.1,566.4,597.5,532.3,653.7,458.858,538.31
108,3.9,Immobiliare.it,Data Scientist,Roma,Roma,Lazio,421.1,566.4,597.5,532.3,653.7,458.858,538.31
109,3.8,AXXAM SPA,Scientist - Medicinal Chemistry Unit,Torre Annunziata,Napoli,Campania,309.9,519.7,406.0,548.3,374.3,394.063,425.377
110,3.9,NTT DATA,AZURE DATA ENGINEER,Bari,Bari,Apulia,293.3,527.2,508.3,646.8,504.0,457.258,489.476
111,3.9,Qlik,Customer Success Engineer,Remote,,,,,,,,,
112,4.5,Adroit People Ltd.,System Engineer vehicle,Acerra,Napoli,Campania,309.9,519.7,406.0,548.3,374.3,394.063,425.377
113,3.7,Reverse SpA,DATA SCIENTIST- SETTORE AUTOMOTIVE,Remote,,,,,,,,,
114,3.8,Jakala,Junior & Senior Data Scientist,Rome,Roma,Lazio,421.1,566.4,597.5,532.3,653.7,458.858,538.31
115,3.8,Capgemini Engineering,Data Scientist & Machine Learning / Computer Vision Engineer,Remote,,,,,,,,,
116,4.6,Sorgenia S.p.A,Data Scientist – Digital Market,Rome,Roma,Lazio,421.1,566.4,597.5,532.3,653.7,458.858,538.31
117,4.1,BIP - Business Integration Partners,Data Scientist,Palermo,Palermo,Sicily,255.6,469.3,385.0,648.7,516.8,356.761,438.694
118,4,Capgemini,Data Engineer / MLOps / DevOps,Milan,Milano,Lombardy,491.9,632.1,674.3,549.2,620.4,475.642,573.924
119,3.8,Solvay,R&D Battery Platform Lab Technician,Bollate,Milano,Lombardy,491.9,632.1,674.3,549.2,620.4,475.642,573.924
120,3.3,Banca Sella,Data Specialist,Turin,Torino,Piedmont,393.6,492.1,648.1,639.8,578.1,433.093,530.799
121,4.1,Chiesi Farmaceutici,Pharmacokinetics Scientist,Parma,Parma,Emilia-Romagna,453.9,498.0,664.1,663.7,633.9,529.189,573.798
122,3.7,AIMS,Clinical Research Scientist,Milan,Milano,Lombardy,491.9,632.1,674.3,549.2,620.4,475.642,573.924
123,4.1,Corteva,Field Scientist,Cremona,Cremona,Lombardy,411.8,472.4,639.8,757.3,581.9,512.875,562.679
124,3.2,ERRE Technology,Data Scientist,Moncalieri,Torino,Piedmont,393.6,492.1,648.1,639.8,578.1,433.093,530.799
125,3.4,Intesa San Paolo,Data Science Expert,Turin,Torino,Piedmont,393.6,492.1,648.1,639.8,578.1,433.093,530.799
126,3.8,Capgemini Engineering,Data Engineer / MLOps / DevOps,Milan,Milano,Lombardy,491.9,632.1,674.3,549.2,620.4,475.642,573.924
127,3,HR Talent,DATA SCIENTIST,Padova,Padova,Veneto,376.5,515.4,626.2,699.9,584.7,445.117,541.303
128,3.8,Thales,Expert data scientist,Roma,Roma,Lazio,421.1,566.4,597.5,532.3,653.7,458.858,538.31
129,3.8,Prometeia,Data Scientist,Milan,Milano,Lombardy,491.9,632.1,674.3,549.2,620.4,475.642,573.924
130,4.1,Siemens Healthineers,Collaboration Scientist CT,Rome,Roma,Lazio,421.1,566.4,597.5,532.3,653.7,458.858,538.31
131,3.3,YOOX NET-A-PORTER GROUP,Data Scientist / Senior Data Scientist,Milan,Milano,Lombardy,491.9,632.1,674.3,549.2,620.4,475.642,573.924
132,3.4,CRIF,Senior Data Scientist,Bologna,Bologna,Emilia-Romagna,470.1,545.6,688.8,629.9,688.1,518.977,590.246
133,4,KPMG,Data Scientist Senior Consultant - Regulatory & Risk Advisory,Milan,Milano,Lombardy,491.9,632.1,674.3,549.2,620.4,475.642,573.924
134,2.9,ELSE Corp,JR MACHINE LEARNING PYTHON ENGINEER,Milan,Milano,Lombardy,491.9,632.1,674.3,549.2,620.4,475.642,573.924
135,3.9,NTT DATA,AZURE DATA ARCHITECT,Bari,Bari,Apulia,293.3,527.2,508.3,646.8,504.0,457.258,489.476
136,3.4,Technogym,"Senior Data Engineer, Business Intelligence",Cesena,Forlì-Cesena,Emilia-Romagna,405.9,428.2,601.5,743.0,548.9,490.589,536.348
137,3.3,Telepass,Data Engineer,Rome,Roma,Lazio,421.1,566.4,597.5,532.3,653.7,458.858,538.31
138,3.8,CMCC Foundation,12431 - Data Scientist,Lecce,Lecce,Apulia,267.6,480.6,437.3,675.0,405.5,492.889,459.815
139,4,Sia Partners,Data Scientist Manager,Rome,Roma,Lazio,421.1,566.4,597.5,532.3,653.7,458.858,538.31
140,4.2,Newel Health,Senior Data Scientist,Largo Abate Conforti,Salerno,Campania,284.1,474.5,374.6,583.0,454.5,392.033,427.122
141,3.7,Pierre Fabre,Customer Engagement Manager,Milan,Milano,Lombardy,491.9,632.1,674.3,549.2,620.4,475.642,573.924
142,3.1,TIM Retail,MACHINE LEARNING ENGINEER,Turin,Torino,Piedmont,393.6,492.1,648.1,639.8,578.1,433.093,530.799
143,4,Enel,Computational Scientist,Roma,Roma,Lazio,421.1,566.4,597.5,532.3,653.7,458.858,538.31
144,4.1,BIP - Business Integration Partners,Senior Data Scientist,Palermo,Palermo,Sicily,255.6,469.3,385.0,648.7,516.8,356.761,438.694
145,4.5,Translated Srl,Machine Translation Scientist,Roma,Roma,Lazio,421.1,566.4,597.5,532.3,653.7,458.858,538.31
146,4,BearingPoint,Senior Data Scientist,Turin,Torino,Piedmont,393.6,492.1,648.1,639.8,578.1,433.093,530.799
147,4,Allianz Technology,CONSULTANT - IT,Milan,Milano,Lombardy,491.9,632.1,674.3,549.2,620.4,475.642,573.924
148,3.4,Evotec,Cardio Safety Scientist,Verona,Verona,Veneto,397.1,518.8,652.9,749.5,620.4,416.296,559.166
149,3.4,Evotec,Early Formulation Scientist,Verona,Verona,Veneto,397.1,518.8,652.9,749.5,620.4,416.296,559.166
150,4,Business Competence srl,Data Scientist,Cernusco sul Naviglio,Milano,Lombardy,491.9,632.1,674.3,549.2,620.4,475.642,573.924
151,5,Open Search Network Ltd,Data Scientist,Rome,Roma,Lazio,421.1,566.4,597.5,532.3,653.7,458.858,538.31
152,3.6,Generali Italia,Machine Learning Engineer (MLE),Milano,Milano,Lombardy,491.9,632.1,674.3,549.2,620.4,475.642,573.924
153,3.3,Serco Europe,Atmospheric Remote Sensing Scientist,Bologna,Bologna,Emilia-Romagna,470.1,545.6,688.8,629.9,688.1,518.977,590.246
154,3.4,Evotec,Principal Scientist,Verona,Verona,Veneto,397.1,518.8,652.9,749.5,620.4,416.296,559.166
155,3.4,Evotec,Principal Scientist,Verona,Verona,Veneto,397.1,518.8,652.9,749.5,620.4,416.296,559.166
156,4.8,Dils,Data Engineer Senior,Milano,Milano,Lombardy,491.9,632.1,674.3,549.2,620.4,475.642,573.924
157,3.3,Carel Industries s.p.a.,ICT Data Engineer,Brugine,Padova,Veneto,376.5,515.4,626.2,699.9,584.7,445.117,541.303
158,3.7,Adecco Italia,Supply Chain Data Scientist,Viadana,Mantova,Lombardy,326.3,392.2,616.4,712.1,526.2,465.526,506.454
159,3.8,GIGROUP,Jr Data Analyst,Padova,Padova,Veneto,376.5,515.4,626.2,699.9,584.7,445.117,541.303
160,3.7,Reverse SpA,DATA SCIENTIST/ENGINEER - SMARTWORKING / FULL REMOTE,Milan,Milano,Lombardy,491.9,632.1,674.3,549.2,620.4,475.642,573.924
161,3.3,In Job S.p.A.,DATA SCIENTIST,Oppeano,Verona,Veneto,397.1,518.8,652.9,749.5,620.4,416.296,559.166
162,4.2,Experis,Data Scientist,Roma,Roma,Lazio,421.1,566.4,597.5,532.3,653.7,458.858,538.31
163,3.4,MC Engineering,Data Scientist,Turin,Torino,Piedmont,393.6,492.1,648.1,639.8,578.1,433.093,530.799
164,4.5,Techyon,HEAD OF DATA SCIENCE & ANALYTICS | TEAM LEADER DATA ENGINEERING - MACHINE LEARNING | DATA ARCHITECT / TECHNICAL LEADER AI-IA,Milan,Milano,Lombardy,491.9,632.1,674.3,549.2,620.4,475.642,573.924
165,4.1,GSK,SERM Principal Scientist,Verona,Verona,Veneto,397.1,518.8,652.9,749.5,620.4,416.296,559.166
166,4,KPMG,Senior Data Scientist - Energy Team __ Regulatory & Risk Advisory,Milan,Milano,Lombardy,491.9,632.1,674.3,549.2,620.4,475.642,573.924
